"Cliente";"Data da Operação";"Código";"Corretora";"Qtd.";"Preço de Mercado";"Valor de Mercado";"% S/ FU";"% S/ Total";"Código Isin";"Bolsa";"IRRF sobre Pos. Própria";"Ajuste Equalização";"Ajuste Valorização";"Tipo";"Objeto da Opção";"Exercício";"Data de Vencimento";"Custo Médio c/ Corretagem";"Cotação";"Custo Total";"Resultado";"Quantidade Disponível";"Quantidade Bloqueada";"Quantidade Total";"% S/ RV";"Valor de Mercado Bruto";"Valor de Mercado Líquido";"IC_ADR";"IC_BDR";"Tipo";"Praça";"VL_VENCIMENTO";"Data de Vencimento";"Resgate";"Código da Operação";"Data da Operação";"Preço";"Financeiro";"% Remuneração";"% Mercado";"RemuneraçãoBruta";"IR";"RemuneraçãoLíquida";"IC_TIPO_MOVIMENTO";"Fundo";"Instituição";"% S/ FI";"Aplic. / Resg.";"Valor Atual";"Impostos";"Valor Líquido";"Data de Aplicação";"Data de Emissão";"Data de Vencimento do Lastro";"Emitente";"Lastro";"Papel";"Index.";"MTM % AA";"Tx. Over";"Taxa % AA";"PU Atual";"Valor Aplicação";"Valor Resgate";"Valor Bruto";"MTM";"Negociação / Vencimento";"Operação a Termo";"Origem";"IC_REG_VENDA_TERMO";"Partida";"Início Valoriz.";"Contra Partida";"Indexador";"MTM % AA";"Taxa % AA";"Valor";"Indexador";"MTM % AA";"Taxa % AA";"Valor";"Aprop. Acum. Bruta";"Aprop. Acum. Líquida";"Principal";"% S/ SW";"SG_MTM_ATIVO";"SG_MTM_PASSIVO";"PC_SOA";"CD_TIPO_ATIVO";"DS_TIPO_ATIVO";"Descrição";"Histórico Traduzido";"% S/ CPR";"Valor";"Benchmark %";"Rent. Real %";"Variação Diária %";"Variação Mensal %";"Variação Anual %";"Últimos 6 Meses %";"Últimos 12 Meses %";"PC_ULT_6F_MESES";"PC_ULT_12F_MESES";"Patrimônio"
"CUST0207       ";"14/08/2024";"CUST0970";"";"0";"0";"0,00";"0,00";"20,25";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"25,82869639";"0,00";"0,00";"0";"0,00000000";"7.028.168,01954160";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"SULAM NEOS FIM CP";"SANT    ";"20,69";"0,00";"181.528.417,95";"0,00";"181.528.417,95";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0207       ";"14/08/2024";"CUST1190";"";"0";"0";"0,00";"0,00";"36,57";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"2,23259433";"0,00";"0,00";"0";"0,00000000";"146.839.413,35566800";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"FEF VOTO FIRF CDI CD";"SANT    ";"37,37";"0,00";"327.832.841,68";"0,00";"327.832.841,68";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0207       ";"14/08/2024";"CUST1192";"";"0";"0";"0,00";"0,00";"11,14";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"2,36069502";"0,00";"0,00";"0";"0,00000000";"42.314.229,24087930";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"NORONHA CD FIM";"SANT    ";"11,39";"0,00";"99.890.990,24";"0,00";"99.890.990,24";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0207       ";"14/08/2024";"CUST2315";"";"0";"0";"0,00";"0,00";"2,72";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"1,10598782";"0,00";"0,00";"0";"0,00000000";"22.048.514,13859530";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"ITAU FEF CD FICFIA";"SANT    ";"2,78";"-41.542,93";"24.385.388,09";"0,00";"24.385.388,09";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0207       ";"14/08/2024";"CUST3075";"";"0";"0";"0,00";"0,00";"9,91";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"1,20126644";"0,00";"0,00";"0";"0,00000000";"73.961.661,22542130";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"NEOS FIC FIA";"SANT    ";"10,13";"-150.533,00";"88.847.661,48";"0,00";"88.847.661,48";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0207       ";"14/08/2024";"CUST3081";"";"0";"0";"0,00";"0,00";"9,08";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"1,11953438";"0,00";"0,00";"0";"0,00000000";"72.716.409,24649740";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"NEOS FIC FIM";"SANT    ";"9,28";"-1.326.428,00";"81.408.520,14";"0,00";"81.408.520,14";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0207       ";"14/08/2024";"TCUS0349";"";"0";"0";"0,00";"0,00";"0,33";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"13.268,40421089";"0,00";"0,00";"0";"0,00000000";"223,67755270";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"LACAN FLO FIP MULTIE";"BPLURAL ";"0,34";"0,00";"2.967.844,18";"0,00";"2.967.844,18";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0207       ";"14/08/2024";"TCUS0646";"";"0";"0";"0,00";"0,00";"0,46";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"16.858,34032199";"0,00";"0,00";"0";"0,00000000";"243,13447753";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"LACAN FL II FIP";"BPLURAL ";"0,47";"0,00";"4.098.843,77";"0,00";"4.098.843,77";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0207       ";"14/08/2024";"TFBR0308";"";"0";"0";"0,00";"0,00";"1,28";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"1,57914690";"0,00";"0,00";"0";"0,00000000";"7.274.663,39078412";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"SCHR SUST ACOE G FIA";"BEMD    ";"1,31";"-1.098.754,00";"11.487.762,14";"0,00";"11.487.762,14";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0207       ";"14/08/2024";"TFBT0875";"";"0";"0";"0,00";"0,00";"1,13";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"1,30131880";"0,00";"0,00";"0";"0,00000000";"7.756.702,34152928";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"SPEC IV INST FIP MUT";"BTGPACTU";"1,15";"0,00";"10.093.942,58";"0,00";"10.093.942,58";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
