"Cliente";"Data da Operação";"Código";"Corretora";"Qtd.";"Preço de Mercado";"Valor de Mercado";"% S/ FU";"% S/ Total";"Código Isin";"Bolsa";"IRRF sobre Pos. Própria";"Ajuste Equalização";"Ajuste Valorização";"Tipo";"Objeto da Opção";"Exercício";"Data de Vencimento";"Custo Médio c/ Corretagem";"Cotação";"Custo Total";"Resultado";"Quantidade Disponível";"Quantidade Bloqueada";"Quantidade Total";"% S/ RV";"Valor de Mercado Bruto";"Valor de Mercado Líquido";"IC_ADR";"IC_BDR";"Tipo";"Praça";"VL_VENCIMENTO";"Data de Vencimento";"Resgate";"Código da Operação";"Data da Operação";"Preço";"Financeiro";"% Remuneração";"% Mercado";"RemuneraçãoBruta";"IR";"RemuneraçãoLíquida";"IC_TIPO_MOVIMENTO";"Fundo";"Instituição";"% S/ FI";"Aplic. / Resg.";"Valor Atual";"Impostos";"Valor Líquido";"Data de Aplicação";"Data de Emissão";"Data de Vencimento do Lastro";"Emitente";"Lastro";"Papel";"Index.";"MTM % AA";"Tx. Over";"Taxa % AA";"PU Atual";"Valor Aplicação";"Valor Resgate";"Valor Bruto";"MTM";"Negociação / Vencimento";"Operação a Termo";"Origem";"IC_REG_VENDA_TERMO";"Partida";"Início Valoriz.";"Contra Partida";"Indexador";"MTM % AA";"Taxa % AA";"Valor";"Indexador";"MTM % AA";"Taxa % AA";"Valor";"Aprop. Acum. Bruta";"Aprop. Acum. Líquida";"Principal";"% S/ SW";"SG_MTM_ATIVO";"SG_MTM_PASSIVO";"PC_SOA";"CD_TIPO_ATIVO";"DS_TIPO_ATIVO";"Descrição";"Histórico Traduzido";"% S/ CPR";"Valor";"Benchmark %";"Rent. Real %";"Variação Diária %";"Variação Mensal %";"Variação Anual %";"Últimos 6 Meses %";"Últimos 12 Meses %";"PC_ULT_6F_MESES";"PC_ULT_12F_MESES";"Patrimônio"
"CUST1903       ";"14/08/2024";"CUST0970";"";"0";"0";"0,00";"0,00";"18,82";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"25,82869639";"0,00";"0,00";"0";"0,00000000";"7.848.954,24687267";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"SULAM NEOS FIM CP";"SANT    ";"19,16";"-9.865.988,00";"202.728.256,22";"0,00";"202.728.256,22";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST1903       ";"14/08/2024";"CUST1190";"";"0";"0";"0,00";"0,00";"46,63";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"2,23259433";"0,00";"0,00";"0";"0,00000000";"225.030.148,93302700";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"FEF VOTO FIRF CDI CD";"SANT    ";"47,48";"0,00";"502.401.034,59";"0,00";"502.401.034,59";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST1903       ";"14/08/2024";"CUST1192";"";"0";"0";"0,00";"0,00";"11,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"2,36069502";"0,00";"0,00";"0";"0,00000000";"50.177.362,42986940";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"NORONHA CD FIM";"SANT    ";"11,19";"0,00";"118.453.449,60";"0,00";"118.453.449,60";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST1903       ";"14/08/2024";"CUST2315";"";"0";"0";"0,00";"0,00";"2,47";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"1,10598782";"0,00";"0,00";"0";"0,00000000";"24.027.278,33403740";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"ITAU FEF CD FICFIA";"SANT    ";"2,51";"0,00";"26.573.877,19";"0,00";"26.573.877,19";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST1903       ";"14/08/2024";"CUST3075";"";"0";"0";"0,00";"0,00";"9,40";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"1,20126644";"0,00";"0,00";"0";"0,00000000";"84.324.116,26935590";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"NEOS FIC FIA";"SANT    ";"9,57";"0,00";"101.295.730,96";"0,00";"101.295.730,96";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST1903       ";"14/08/2024";"CUST3081";"";"0";"0";"0,00";"0,00";"4,91";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"1,11953438";"0,00";"0,00";"0";"0,00000000";"47.217.366,52051970";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"NEOS FIC FIM";"SANT    ";"5,00";"0,00";"52.861.465,15";"0,00";"52.861.465,15";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST1903       ";"14/08/2024";"TCUS0349";"";"0";"0";"0,00";"0,00";"0,03";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"13.268,40421089";"0,00";"0,00";"0";"0,00000000";"27,57166332";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"LACAN FLO FIP MULTIE";"BPLURAL ";"0,03";"0,00";"365.831,97";"0,00";"365.831,97";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST1903       ";"14/08/2024";"TCUS0646";"";"0";"0";"0,00";"0,00";"0,14";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"16.858,34032199";"0,00";"0,00";"0";"0,00000000";"87,22475847";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"LACAN FL II FIP";"BPLURAL ";"0,14";"0,00";"1.470.464,66";"0,00";"1.470.464,66";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST1903       ";"14/08/2024";"TFBR0308";"";"0";"0";"0,00";"0,00";"0,82";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"1,57914690";"0,00";"0,00";"0";"0,00000000";"5.604.180,00468030";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"SCHR SUST ACOE G FIA";"BEMD    ";"0,84";"0,00";"8.849.823,48";"0,00";"8.849.823,48";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST1903       ";"14/08/2024";"TFBR0354";"";"0";"0";"0,00";"0,00";"0,62";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"119,24225850";"0,00";"0,00";"0";"0,00000000";"56.174,81475307";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"VINCI FI RF IMOBI II";"BEMD    ";"0,63";"0,00";"6.698.411,78";"0,00";"6.698.411,78";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
