"Cliente";"Data da Operação";"Código";"Corretora";"Qtd.";"Preço de Mercado";"Valor de Mercado";"% S/ FU";"% S/ Total";"Código Isin";"Bolsa";"IRRF sobre Pos. Própria";"Ajuste Equalização";"Ajuste Valorização";"Tipo";"Objeto da Opção";"Exercício";"Data de Vencimento";"Custo Médio c/ Corretagem";"Cotação";"Custo Total";"Resultado";"Quantidade Disponível";"Quantidade Bloqueada";"Quantidade Total";"% S/ RV";"Valor de Mercado Bruto";"Valor de Mercado Líquido";"IC_ADR";"IC_BDR";"Tipo";"Praça";"VL_VENCIMENTO";"Data de Vencimento";"Resgate";"Código da Operação";"Data da Operação";"Preço";"Financeiro";"% Remuneração";"% Mercado";"RemuneraçãoBruta";"IR";"RemuneraçãoLíquida";"IC_TIPO_MOVIMENTO";"Fundo";"Instituição";"% S/ FI";"Aplic. / Resg.";"Valor Atual";"Impostos";"Valor Líquido";"Data de Aplicação";"Data de Emissão";"Data de Vencimento do Lastro";"Emitente";"Lastro";"Papel";"Index.";"MTM % AA";"Tx. Over";"Taxa % AA";"PU Atual";"Valor Aplicação";"Valor Resgate";"Valor Bruto";"MTM";"Negociação / Vencimento";"Operação a Termo";"Origem";"IC_REG_VENDA_TERMO";"Partida";"Início Valoriz.";"Contra Partida";"Indexador";"MTM % AA";"Taxa % AA";"Valor";"Indexador";"MTM % AA";"Taxa % AA";"Valor";"Aprop. Acum. Bruta";"Aprop. Acum. Líquida";"Principal";"% S/ SW";"SG_MTM_ATIVO";"SG_MTM_PASSIVO";"PC_SOA";"CD_TIPO_ATIVO";"DS_TIPO_ATIVO";"Descrição";"Histórico Traduzido";"% S/ CPR";"Valor";"Benchmark %";"Rent. Real %";"Variação Diária %";"Variação Mensal %";"Variação Anual %";"Últimos 6 Meses %";"Últimos 12 Meses %";"PC_ULT_6F_MESES";"PC_ULT_12F_MESES";"Patrimônio"
"CUST0388       ";"14/08/2024";"CUST1190";"";"0";"0";"0,00";"0,00";"55,58";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"2,23259433";"0,00";"0,00";"0";"0,00000000";"4.767.306,13295637";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"FEF VOTO FIRF CDI CD";"SANT    ";"55,58";"0,00";"10.643.460,64";"0,00";"10.643.460,64";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0388       ";"14/08/2024";"CUST1192";"";"0";"0";"0,00";"0,00";"10,12";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"2,36069502";"0,00";"0,00";"0";"0,00000000";"820.745,25562894";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"NORONHA CD FIM";"SANT    ";"10,12";"0,00";"1.937.529,24";"0,00";"1.937.529,24";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0388       ";"14/08/2024";"CUST2315";"";"0";"0";"0,00";"0,00";"28,77";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"1,10598782";"0,00";"0,00";"0";"0,00000000";"4.981.962,98233473";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"ITAU FEF CD FICFIA";"SANT    ";"28,77";"-222.910,00";"5.509.990,38";"0,00";"5.509.990,38";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0388       ";"14/08/2024";"TFBR0308";"";"0";"0";"0,00";"0,00";"1,60";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"1,57914690";"0,00";"0,00";"0";"0,00000000";"193.662,58301219";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"SCHR SUST ACOE G FIA";"BEMD    ";"1,60";"-89.089,00";"305.821,67";"0,00";"305.821,67";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0388       ";"14/08/2024";"TFML2226";"";"0";"0";"0,00";"0,00";"3,93";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"2,25605384";"0,00";"0,00";"0";"0,00000000";"333.917,39314836";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"PIMCO INCOME FIM IE";"BNYMELLO";"3,93";"-282.835,60";"753.335,62";"0,00";"753.335,62";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0388       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"Taxa de Custódia Apropriada";"Taxa de Custódia Apropriada";"14,47";"-5,86";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0388       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"Despesa de Custo CETIP com pagamento 06/09/24";"Despesa de Custo CETIP com pagamento 06/09/24";"85,53";"-34,64";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0388       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"Saldo em Tesouraria";"";"100,00";"241,81";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0388       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"Saldo em Tesouraria RESERVA";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00"
"CUST0388       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"IPCA";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"1.457,42950616";"0,2340";"0,0172430";"0,1726";"3,1610";"2,0005";"4,3566";"0,0000";"0,0000";"0,00"
"CUST0388       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"PATRIMON";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,0000000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"19.150.338,86"
"CUST0388       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"COTA";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"0,00000000";"0,0000";"0,2513039";"1,6736";"4,8007";"4,4545";"12,2310";"0,0000";"0,0000";"0,00"
"CUST0388       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"CDI";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"639,94527274";"0,2120";"0,0392696";"0,3934";"6,5934";"4,7329";"10,6870";"0,0000";"0,0000";"0,00"
"CUST0388       ";"14/08/2024";"";"";"0";"0";"0,00";"0,00";"0,00";"0";"";"0,00";"0,00";"0,00";"";"";"0,00";"";"0,00";"0,00000000";"0,00";"0,00";"0";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"0,00";"";"";"0";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"IGPM-IND";"0,00";"0,00";"0,00000000";"0,00000000";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"0,00";"";"";"";"";"0,00";"0,00";"912,66608039";"0,2237";"0,0275351";"0,2757";"2,0884";"1,9195";"3,9202";"0,0000";"0,0000";"0,00"
