REGIAO:;CO;;;;;;;
UF:;MS;;;;;;;
ESTACAO:;BONITO;;;;;;;
CODIGO (WMO):;S704;;;;;;;
LATITUDE:;-21,246756;;;;;;;
LONGITUDE:;-56,450442;;;;;;;
ALTITUDE:;329;;;;;;;
DATA DE FUNDACAO:;06/08/2018;;;;;;;
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
02/01/2020;1300 UTC;0,2;972,3;28,9;71;207;5,1;3,1
02/01/2020;1400 UTC;0;972,2;30,2;67;228;5,9;2,4
02/01/2020;1500 UTC;0;972;26,6;81;339;7,5;4,7
02/01/2020;1600 UTC;3,2;971,4;26,1;92;19;7,9;2,1
02/01/2020;1700 UTC;0;970,8;30,1;86;351;4,7;2,3
02/01/2020;1800 UTC;3,4;969,7;30,1;87;338;6,4;2,6
02/01/2020;1900 UTC;0;968,8;30,8;76;2;4,4;1
02/01/2020;2000 UTC;0;968,7;31,6;65;200;10,1;6,7
02/01/2020;2100 UTC;0;969,1;30,3;54;213;10,2;6,7
02/01/2020;2200 UTC;0;969,5;28,5;64;205;9,8;4,4
02/01/2020;2300 UTC;0;970,3;25,3;80;221;6,6;2,2
03/01/2020;0000 UTC;0;971,1;24,5;84;222;3,2;2,1
03/01/2020;0100 UTC;0;971,8;23,9;88;210;3,1;2,4
03/01/2020;0200 UTC;0;972,2;23,3;90;220;3,3;2,8
03/01/2020;0300 UTC;0;972,1;22,8;89;223;3,8;2,9
03/01/2020;0400 UTC;0;971,6;21,9;88;221;4,1;3
03/01/2020;0500 UTC;0;971,1;21,5;88;225;4;2,9
03/01/2020;0600 UTC;0;971;21,2;91;239;3,5;2,5
03/01/2020;0700 UTC;0;970,9;21;92;229;3,4;3
03/01/2020;0800 UTC;0;971;20,9;91;235;3,7;2,9
03/01/2020;0900 UTC;0;971,6;20,9;92;240;3,4;2,8
03/01/2020;1000 UTC;0;972,3;21,9;92;234;3,6;2,8
03/01/2020;1100 UTC;0;972,4;25,2;90;216;4,9;3,2
03/01/2020;1200 UTC;0;972,8;27;81;199;4,9;3,1
03/01/2020;1300 UTC;0;973,1;29,3;75;219;5,1;2,7
03/01/2020;1400 UTC;0;973,1;31,4;67;220;4,9;1,8
03/01/2020;1500 UTC;0;972,6;31,3;55;221;5,2;2,6
03/01/2020;1600 UTC;0;972,2;30,8;57;240;6;2,8
03/01/2020;1700 UTC;0;971,6;30,7;55;225;6,8;3,9
03/01/2020;1800 UTC;0;970,7;32,5;55;225;6,5;3,2
03/01/2020;1900 UTC;0;969,7;33,5;51;218;7,6;3,8
03/01/2020;2000 UTC;0;969,2;32,5;50;210;10,5;5,1
03/01/2020;2100 UTC;0;969,2;31,2;53;223;10,5;5,4
03/01/2020;2200 UTC;0;969,4;30,3;59;210;8;5,2
03/01/2020;2300 UTC;0;970,3;27,3;68;205;8;3,5
04/01/2020;0000 UTC;0,2;971,2;25,8;80;200;5,3;3,3
04/01/2020;0100 UTC;0;971,5;24,8;82;221;5,3;2,9
04/01/2020;0200 UTC;0;971,8;23,6;88;210;4,1;2,2
04/01/2020;0300 UTC;0;971,5;22,8;90;222;3,7;2,3
04/01/2020;0400 UTC;0;971;22,6;90;221;3,9;3
04/01/2020;0500 UTC;0;970,6;22,6;89;218;4,4;2,8
04/01/2020;0600 UTC;0;970,5;22,4;90;215;3,9;2,3
04/01/2020;0700 UTC;0;970,2;21,8;91;226;3,1;1,3
04/01/2020;0800 UTC;0;970,2;21,4;92;220;2,9;1,8
04/01/2020;0900 UTC;0;970,6;21,2;94;218;3,1;1,7
04/01/2020;1000 UTC;0;971;22,4;93;215;3,3;2
04/01/2020;1100 UTC;0;971,3;24,6;92;186;3,3;1
04/01/2020;1200 UTC;0;971,8;25,7;87;105;3,9;1,3
04/01/2020;1300 UTC;0;971,7;28,7;84;111;2,8;0,7
04/01/2020;1400 UTC;0;971,4;28;75;302;4,2;2
04/01/2020;1500 UTC;0;970,7;30,7;75;212;4,6;1,8
04/01/2020;1600 UTC;0;969,9;31,3;64;217;6,4;1,4
04/01/2020;1700 UTC;0;969,2;31,2;58;172;4,2;2,1
04/01/2020;1800 UTC;1,2;968,7;28,4;81;265;4,2;2,6
04/01/2020;1900 UTC;0;967,8;29,7;77;292;8,3;2,9
04/01/2020;2000 UTC;0,2;967,6;27,2;83;360;7,1;1,9
04/01/2020;2100 UTC;0,4;967,1;26,5;89;311;8,5;2,1
04/01/2020;2200 UTC;0;967,4;26;82;318;3,8;2,1
04/01/2020;2300 UTC;0;968,2;24,8;89;248;4,7;2
05/01/2020;0000 UTC;0,2;969,2;23,8;91;122;8,7;4,4
05/01/2020;0100 UTC;0,6;969,7;23,1;94;23;6,8;1
05/01/2020;0200 UTC;0;969,6;23,3;95;309;5,7;3,2
05/01/2020;0300 UTC;0;969,7;22,6;96;97;5,6;1,6
05/01/2020;0400 UTC;0;968,9;22,9;97;325;1,8;0,9
05/01/2020;0500 UTC;0;968,5;22;97;296;3,1;2,2
05/01/2020;0600 UTC;0;968;21,7;97;278;3,1;0,8
05/01/2020;0700 UTC;0;967,9;21,4;97;229;2;0,4
05/01/2020;0800 UTC;0;967,8;21,1;98;159;1,3;0,6
05/01/2020;0900 UTC;0,2;968,2;20,7;98;118;2,1;1,4
05/01/2020;1000 UTC;0;968,9;22,7;98;344;1,9;0,8
05/01/2020;1100 UTC;0;969,4;24,8;98;329;1,9;1
05/01/2020;1200 UTC;0;969,5;27,2;89;353;3,1;1,7
05/01/2020;1300 UTC;0;969,4;29,1;76;330;4;1,8
05/01/2020;1400 UTC;0;969,1;31,1;69;322;3,9;1,9
05/01/2020;1500 UTC;0;968,5;33;60;291;5,1;1,7
05/01/2020;1600 UTC;0;967,9;33,8;53;254;6,3;2,2
05/01/2020;1700 UTC;0;967;34,3;46;284;6,2;3,3
05/01/2020;1800 UTC;0;966,2;34,3;41;253;6,5;3,5
05/01/2020;1900 UTC;0;965,4;34,2;39;259;6,7;3,7
05/01/2020;2000 UTC;0;965;33,7;40;273;6;4,1
05/01/2020;2100 UTC;0;965;32,7;41;266;5,7;3
05/01/2020;2200 UTC;0;965,2;30,5;48;276;3,9;2
05/01/2020;2300 UTC;0;965,7;29,1;61;2;3;1,9
06/01/2020;0000 UTC;0;966,2;27,6;60;23;3,5;2,6
06/01/2020;0100 UTC;0;966,6;27,3;60;17;3,6;2,3
06/01/2020;0200 UTC;0;967,1;23,7;79;334;3,9;2,1
06/01/2020;0300 UTC;0;966,9;24;79;347;3,2;2
06/01/2020;0400 UTC;0;966,3;24,9;76;354;4,6;2,6
06/01/2020;0500 UTC;0;966,4;24,6;71;353;4,8;3,2
06/01/2020;0600 UTC;0;966,4;24,4;73;5;4,8;2,4
06/01/2020;0700 UTC;0;966,5;24,3;74;354;4,8;3,2
06/01/2020;0800 UTC;0;966,7;23,8;79;14;5,5;2,2
06/01/2020;0900 UTC;0;967,3;23,8;82;11;4,3;2,7
06/01/2020;1000 UTC;0;968,3;24,1;84;12;5,8;2,9
06/01/2020;1100 UTC;0;969;25,9;84;9;8,3;4,5
06/01/2020;1200 UTC;0;969,5;28;80;6;9;4,4
06/01/2020;1300 UTC;0;969,4;30,3;76;348;9,4;5,8
06/01/2020;1400 UTC;0;969,5;30,7;67;3;11,3;5,4
06/01/2020;1500 UTC;0;969,3;30,6;65;6;11,6;5,6
06/01/2020;1600 UTC;0;969,1;30,6;64;8;10,7;5,7
06/01/2020;1700 UTC;0;968,3;31,1;64;13;10,5;4,7
06/01/2020;1800 UTC;0;967,6;32;62;1;10,6;5,2
06/01/2020;1900 UTC;0;966,4;32;62;9;9,4;5
06/01/2020;2000 UTC;0;965,4;31,8;61;14;8,8;4,2
06/01/2020;2100 UTC;0;965,4;30,6;61;13;8,6;4,1
06/01/2020;2200 UTC;0;966,1;29,9;65;6;6,9;2,9
06/01/2020;2300 UTC;0;967,6;28,2;73;341;5,2;2,2
07/01/2020;0000 UTC;0;969,6;24,6;90;332;14,6;10,2
07/01/2020;0100 UTC;1,4;969,4;23,7;95;360;14,6;2,4
07/01/2020;0200 UTC;0;969,8;23,6;95;1;4,3;2,9
07/01/2020;0300 UTC;0;969,5;23,6;94;350;5,4;2,6
07/01/2020;0400 UTC;0;969,4;23,7;95;360;5;3,4
07/01/2020;0500 UTC;0;968,7;23,9;95;5;7,2;4,6
07/01/2020;0600 UTC;0;968,3;23,9;95;1;7,2;3,4
07/01/2020;0700 UTC;0;967,8;23,8;96;5;7;4,3
07/01/2020;0800 UTC;1,2;969,4;23,9;96;319;7;3,3
07/01/2020;0900 UTC;7;969,3;24;97;360;4,7;2,8
07/01/2020;1000 UTC;8,6;969,8;23,9;97;331;6;3,2
07/01/2020;1100 UTC;30,2;971,1;21,1;98;199;13,9;8,6
07/01/2020;1200 UTC;56,6;972,5;20,5;98;245;13,9;4,4
07/01/2020;1300 UTC;12,2;972,8;20,7;99;242;7,2;2,5
07/01/2020;1400 UTC;10,4;972,7;20,5;99;229;5;1,8
07/01/2020;1500 UTC;2,2;972,5;20,5;99;172;3,3;0,8
07/01/2020;1600 UTC;2,8;972,2;20,7;98;262;3,5;2,4
07/01/2020;1700 UTC;4,6;970,2;20,9;98;22;6,1;3,1
07/01/2020;1800 UTC;0,6;969,8;21,7;98;11;7,8;2
07/01/2020;1900 UTC;0,6;969,6;21,6;96;334;5,5;1,7
07/01/2020;2000 UTC;1,2;969,7;21,4;96;20;3,6;1,3
07/01/2020;2100 UTC;0,2;969,5;21,3;97;117;3,5;1,8
07/01/2020;2200 UTC;0;969,3;21,4;97;20;3,1;1,2
07/01/2020;2300 UTC;0;969,9;21;98;135;2,6;1,3
08/01/2020;0000 UTC;0;970,8;21,2;98;337;3,2;1,6
08/01/2020;0100 UTC;0;972;21,3;98;334;3,7;2,7
08/01/2020;0200 UTC;0;972;21,3;98;303;4;1,5
08/01/2020;0300 UTC;0;971,8;21,3;98;264;3;1,4
08/01/2020;0400 UTC;0;971,3;21,4;97;348;3,4;1,4
08/01/2020;0500 UTC;0;970,8;21,4;96;334;2,1;1,4
08/01/2020;0600 UTC;0;970;21,1;97;353;2,2;1
08/01/2020;0700 UTC;0;969,7;20,9;98;27;3;0,5
08/01/2020;0800 UTC;0;970,3;20,6;98;58;1,9;1,5
08/01/2020;0900 UTC;0;971,2;20,9;98;101;3,7;1,8
08/01/2020;1000 UTC;0;971,6;21,5;98;36;5,4;3,3
08/01/2020;1100 UTC;0;972,4;22,4;98;12;5,3;2,7
08/01/2020;1200 UTC;0;972,7;23;97;18;5,9;2,4
08/01/2020;1300 UTC;0;973,2;23,6;95;23;5,9;3,4
08/01/2020;1400 UTC;0;973,2;25;94;31;6,6;3,7
08/01/2020;1500 UTC;0;972,9;25,8;90;2;7,8;4,2
08/01/2020;1600 UTC;0;972,7;26;87;3;8,5;4,4
08/01/2020;1700 UTC;0;972,2;27;88;355;9,5;5,4
08/01/2020;1800 UTC;0,2;971,3;27,4;81;1;9,5;4,3
08/01/2020;1900 UTC;0;970,1;27,1;81;5;7,9;4,2
08/01/2020;2000 UTC;0;969,4;27,8;80;4;7,3;3,7
08/01/2020;2100 UTC;0;969,1;27,9;79;10;6,8;2,8
08/01/2020;2200 UTC;0;969,7;26,8;82;11;5,9;2,8
08/01/2020;2300 UTC;0;970,3;25,3;90;32;5,3;2,6
09/01/2020;0000 UTC;0;970,9;25,2;92;23;6,1;3,3
09/01/2020;0100 UTC;0;971,2;24,7;91;12;5,6;2,6
09/01/2020;0200 UTC;0;972;24,6;91;357;5,3;2,8
09/01/2020;0300 UTC;0;971,9;24,5;93;12;5,6;2,7
09/01/2020;0400 UTC;0;971,6;24,4;94;356;6,1;3,1
09/01/2020;0500 UTC;0;971,3;24,3;94;20;5,4;2,8
09/01/2020;0600 UTC;0;971,1;24,3;94;4;6,5;3,8
09/01/2020;0700 UTC;0;970,9;24,2;95;3;6,6;3,7
09/01/2020;0800 UTC;0;971,4;24,2;95;355;6,4;2,6
09/01/2020;0900 UTC;0;972;23,9;96;15;5;2,7
09/01/2020;1000 UTC;0;972,6;24,5;96;10;6,7;4
09/01/2020;1100 UTC;0;973,6;25,3;94;2;8,7;4,3
09/01/2020;1200 UTC;0;974,1;26,3;89;356;8,7;5,1
09/01/2020;1300 UTC;0;974,2;28,7;85;6;9,2;5,7
09/01/2020;1400 UTC;0;974;30;76;360;10,6;5,7
09/01/2020;1500 UTC;0;973,5;31,9;71;1;10,5;5,5
09/01/2020;1600 UTC;0;972,9;30,6;71;7;10,8;5
09/01/2020;1700 UTC;0;972;31,7;69;13;9,8;4,6
09/01/2020;1800 UTC;0;971,1;31,8;68;7;9,6;5
09/01/2020;1900 UTC;0;970,3;32,2;66;355;9,8;5
09/01/2020;2000 UTC;0;969,9;30,7;67;2;9,2;5,6
09/01/2020;2100 UTC;0;970;30,6;69;359;9,2;4,5
09/01/2020;2200 UTC;0;970,2;29,2;72;11;7,8;2,7
09/01/2020;2300 UTC;0;970,6;27,2;81;32;5,6;2,4
10/01/2020;0000 UTC;0;971,1;27;82;26;4,3;2,3
10/01/2020;0100 UTC;0;971,8;26,4;84;31;4,5;2,2
10/01/2020;0200 UTC;0;972,4;25,7;89;39;4,4;2,5
10/01/2020;0300 UTC;0;972,4;25,7;89;353;5,4;2,5
10/01/2020;0400 UTC;0;972,3;25,8;89;4;5;3
10/01/2020;0500 UTC;0;972,1;25,3;87;8;4,9;1,2
10/01/2020;0600 UTC;0;972;24,4;91;39;3,1;1,6
10/01/2020;0700 UTC;0;972;24,5;92;360;2,7;1,5
10/01/2020;0800 UTC;0;971,9;24,5;92;15;3,9;2,3
10/01/2020;0900 UTC;0;972,4;23,9;94;31;3,9;2,4
10/01/2020;1000 UTC;0;973,3;25;94;27;4,9;2
10/01/2020;1100 UTC;0;973,8;26,7;92;7;6,5;3,2
10/01/2020;1200 UTC;0;973,9;28,8;84;2;8;4,4
10/01/2020;1300 UTC;0;973,7;30,3;78;350;9,7;4,7
10/01/2020;1400 UTC;0;973,5;32,3;72;346;8,7;4,5
10/01/2020;1500 UTC;0;972,9;32,8;64;354;9,2;4,3
10/01/2020;1600 UTC;0;972,3;33,4;65;350;8,8;5
10/01/2020;1700 UTC;0;971,6;33,5;61;2;9,2;4,6
10/01/2020;1800 UTC;0;970,7;33,6;60;12;8,2;4
10/01/2020;1900 UTC;0;969,6;33,4;59;2;9,2;5,3
10/01/2020;2000 UTC;0;968,9;33,7;58;349;8,9;4,6
10/01/2020;2100 UTC;0;968,4;32,3;59;10;8,4;4,4
10/01/2020;2200 UTC;0;968,5;30,6;64;4;8,2;3,8
10/01/2020;2300 UTC;0;969;28,8;72;17;6,6;2,4
11/01/2020;0000 UTC;0;969,7;27,6;77;334;4,3;1,8
11/01/2020;0100 UTC;0;970,9;26,6;83;26;2,5;0,9
11/01/2020;0200 UTC;0;971,3;25,6;91;36;1,8;1,3
11/01/2020;0300 UTC;0;971,6;26,2;91;337;2,1;0,5
11/01/2020;0400 UTC;0;971,5;26,4;92;355;2,5;1,2
11/01/2020;0500 UTC;0;971,1;25,1;91;347;2,6;1,8
11/01/2020;0600 UTC;0;970,8;25,4;90;348;3,3;1,9
11/01/2020;0700 UTC;0;970,2;25,5;87;354;5,8;3,7
11/01/2020;0800 UTC;0;970,2;25,5;84;351;6,5;4,1
11/01/2020;0900 UTC;0;971,1;25,1;84;2;7;2,7
11/01/2020;1000 UTC;0;972,7;25,9;89;104;4,7;0,8
11/01/2020;1100 UTC;0;973,2;28,7;87;20;2,9;1,5
11/01/2020;1200 UTC;0;973,4;29,3;74;353;4;2,2
11/01/2020;1300 UTC;0;973,8;31,2;72;344;5,6;2,4
11/01/2020;1400 UTC;0;973,5;33,5;65;318;5,8;3,2
11/01/2020;1500 UTC;0;973,4;33,9;58;308;7,5;4,9
11/01/2020;1600 UTC;0;972,7;35;56;294;8,3;4,5
11/01/2020;1700 UTC;0;971,4;33,7;54;290;8,1;4,6
11/01/2020;1800 UTC;0;970,2;33,6;54;283;8,1;4,5
11/01/2020;1900 UTC;0;969,3;32,3;63;47;6,7;2,3
11/01/2020;2000 UTC;0,2;969,1;30,1;83;68;7,7;0,9
11/01/2020;2100 UTC;0;969,4;32,7;81;297;4;2,7
11/01/2020;2200 UTC;0;970,1;31,2;67;297;3,9;1,4
11/01/2020;2300 UTC;0;971,1;28,6;80;20;2,3;0,3
12/01/2020;0000 UTC;0;971,9;27,2;89;175;2;1,3
12/01/2020;0100 UTC;0;972,8;27,5;90;210;2;0,4
12/01/2020;0200 UTC;0;973,1;26,9;89;340;2,1;0,6
12/01/2020;0300 UTC;0;973,2;25,9;93;152;4,4;2,1
12/01/2020;0400 UTC;0;973;25,4;95;112;4,4;1,5
12/01/2020;0500 UTC;0;972,6;25,5;95;29;2,6;1,5
12/01/2020;0600 UTC;0;972,8;24,6;95;147;3,4;1,1
12/01/2020;0700 UTC;0;972,7;24,3;97;55;1,7;1,1
12/01/2020;0800 UTC;0;972,6;24,6;97;4;2,6;1,7
12/01/2020;0900 UTC;0;972,9;24,1;97;6;2,6;0,9
12/01/2020;1000 UTC;0;973,6;25,1;97;359;3,7;1,3
12/01/2020;1100 UTC;0;974,5;25,9;92;359;3,8;2,2
12/01/2020;1200 UTC;0;974,9;26,8;90;31;5,5;3,5
12/01/2020;1300 UTC;0;975,1;28,7;87;37;7;3,8
12/01/2020;1400 UTC;0;974,9;29,9;83;343;8;4,6
12/01/2020;1500 UTC;0;974,9;31,5;74;18;8;3
12/01/2020;1600 UTC;0;974;32,6;72;346;7,3;2,9
12/01/2020;1700 UTC;0;972,7;33,9;66;13;7,8;3,4
12/01/2020;1800 UTC;0;971,9;34,4;63;358;7;3,3
12/01/2020;1900 UTC;0;970,6;33,7;64;21;6,4;3,4
12/01/2020;2000 UTC;0;969,7;33,3;61;13;6,5;2,8
12/01/2020;2100 UTC;0;970,7;30,2;70;51;10,3;5,6
12/01/2020;2200 UTC;0;971,9;27,1;85;94;11;0,8
12/01/2020;2300 UTC;0;972,9;27,1;89;232;6,9;4
13/01/2020;0000 UTC;0;973,1;26;87;141;6,9;1
13/01/2020;0100 UTC;0;973,5;25;92;229;4,7;2,1
13/01/2020;0200 UTC;0;973,8;24,9;93;213;3,2;2
13/01/2020;0300 UTC;0;974,4;24,9;93;188;2,7;0,5
13/01/2020;0400 UTC;0;973,9;24,9;94;177;0,9;0,5
13/01/2020;0500 UTC;0;973,1;24,3;95;143;2,6;1,9
13/01/2020;0600 UTC;0;973,2;24,8;95;127;6,4;3,9
13/01/2020;0700 UTC;0;973,6;24,5;94;134;6,4;3,3
13/01/2020;0800 UTC;2,8;973,9;23,6;97;94;6,2;2,9
13/01/2020;0900 UTC;1;973,4;23,2;97;61;8,6;5,3
13/01/2020;1000 UTC;2,2;974;23,3;96;13;8,8;2,9
13/01/2020;1100 UTC;1;975,9;23,5;97;13;6,3;3,2
13/01/2020;1200 UTC;0,2;976;24,4;96;11;6,3;3,7
13/01/2020;1300 UTC;0;976,4;25,4;93;346;11,6;7
13/01/2020;1400 UTC;0;976,4;27;86;340;12,3;6,9
13/01/2020;1500 UTC;0;975,4;27,3;78;329;11,6;5,3
13/01/2020;1600 UTC;0;974,4;29,7;73;309;9,9;6,4
13/01/2020;1700 UTC;0;973,5;30,3;66;293;9,9;4,9
13/01/2020;1800 UTC;0;972,5;31,7;62;293;7,1;3,1
13/01/2020;1900 UTC;0;971;31,9;60;26;5,4;1,4
13/01/2020;2000 UTC;0;970,6;31,1;64;43;4,7;2,5
13/01/2020;2100 UTC;0;971,6;29,7;69;31;4,7;2,7
13/01/2020;2200 UTC;0;972,7;29,2;72;358;4,1;1,5
13/01/2020;2300 UTC;0;973,2;27,4;84;21;3,3;1,9
14/01/2020;0000 UTC;0;973,9;26,7;87;35;4,5;2,8
14/01/2020;0100 UTC;0;974,2;26,4;88;8;4,7;1,9
14/01/2020;0200 UTC;0;974,8;26,1;90;360;3,5;2,2
14/01/2020;0300 UTC;0;974,3;25,8;89;2;4,7;2,6
14/01/2020;0400 UTC;0;974;25,6;91;353;5,7;3,2
14/01/2020;0500 UTC;0;973,1;25,1;95;25;4,6;1,2
14/01/2020;0600 UTC;0;972,7;25;95;11;3,3;1,9
14/01/2020;0700 UTC;0;972,6;24,8;94;4;4,8;2,5
14/01/2020;0800 UTC;0;972,8;24,6;96;35;4,8;1,8
14/01/2020;0900 UTC;0;973,4;24,4;96;8;3,8;1,7
14/01/2020;1000 UTC;0;974;24,7;96;8;4,9;2,9
14/01/2020;1100 UTC;0;974,8;25,5;93;1;5,4;2,9
14/01/2020;1200 UTC;0;974,9;27;88;7;6,5;3,3
14/01/2020;1300 UTC;0;974,8;28,1;81;358;8;4,4
14/01/2020;1400 UTC;0;974,4;30,7;78;6;9,6;5,1
14/01/2020;1500 UTC;0;973,9;32,1;70;2;9,2;4,5
14/01/2020;1600 UTC;0;973,5;32,7;61;360;8,7;4,7
14/01/2020;1700 UTC;0;972,7;33,7;60;358;8,9;4,7
14/01/2020;1800 UTC;0;972;33,1;59;8;9,6;4,2
14/01/2020;1900 UTC;0;971;33,3;59;8;9,6;4,4
14/01/2020;2000 UTC;0;970,1;32,8;58;9;8;3,6
14/01/2020;2100 UTC;0;970;32,2;58;8;7;3,7
14/01/2020;2200 UTC;0;970,1;30,7;64;11;6,9;1,8
14/01/2020;2300 UTC;0;970,9;28,8;72;15;3,6;1,7
15/01/2020;0000 UTC;0;971,4;27,7;78;28;3,7;2
15/01/2020;0100 UTC;0;971,9;27;78;31;3,8;2,3
15/01/2020;0200 UTC;0;972,2;26,9;78;6;3,8;2,2
15/01/2020;0300 UTC;0;972,2;25,7;88;331;3,3;1
15/01/2020;0400 UTC;0;971,9;25,9;88;360;3,1;2,3
15/01/2020;0500 UTC;0;971,6;24,9;91;307;3,1;1,7
15/01/2020;0600 UTC;0;971,5;23,8;95;21;2,4;1
15/01/2020;0700 UTC;0;971,6;23,9;96;324;2,3;0,9
15/01/2020;0800 UTC;0;971,7;25;93;13;4;2,2
15/01/2020;0900 UTC;0;972,1;24,7;88;8;4;2
15/01/2020;1000 UTC;0;972,7;25,2;88;333;3,6;1,7
15/01/2020;1100 UTC;0;973,4;27,5;87;350;4,4;2,8
15/01/2020;1200 UTC;0;973,2;30;77;2;6,1;3,6
15/01/2020;1300 UTC;0;973,2;31,1;68;16;7,3;4,2
15/01/2020;1400 UTC;0;972,6;33;64;7;8,1;3,6
15/01/2020;1500 UTC;0;972,1;34;56;351;9,2;5,7
15/01/2020;1600 UTC;0;971,4;34;55;8;11,4;5,4
15/01/2020;1700 UTC;0;971,1;33,7;56;5;10,7;5
15/01/2020;1800 UTC;0;970,7;34,4;56;4;9,7;5,7
15/01/2020;1900 UTC;0;970,4;34,8;53;6;9,6;4,3
15/01/2020;2000 UTC;0;969,8;33,7;56;7;8,8;4,4
15/01/2020;2100 UTC;0;969,1;32,9;58;6;7,8;3,9
15/01/2020;2200 UTC;0;969,3;31,2;65;27;7,2;2,6
15/01/2020;2300 UTC;0;969,8;29,5;71;19;4,6;2,1
16/01/2020;0000 UTC;0;970,2;28,4;75;30;3,8;2
16/01/2020;0100 UTC;0;971,1;27,4;83;36;3,6;2,1
16/01/2020;0200 UTC;0;972;27,4;85;7;3,6;1,9
16/01/2020;0300 UTC;0;972,7;26,8;85;350;3,1;1,1
16/01/2020;0400 UTC;0;972,4;25,1;94;264;1,9;1,5
16/01/2020;0500 UTC;0;972,6;25;94;287;1,7;0,7
16/01/2020;0600 UTC;0;972,6;25,1;93;340;2;1,3
16/01/2020;0700 UTC;0;972,4;24,6;93;343;2,2;1,6
16/01/2020;0800 UTC;0;973;24,2;93;328;2,2;1,2
16/01/2020;0900 UTC;0;974,2;23,3;95;148;2;0,8
16/01/2020;1000 UTC;0;975,3;24,3;96;91;1,5;1,2
16/01/2020;1100 UTC;0;975,9;27,5;95;10;2,1;1,4
16/01/2020;1200 UTC;0;976;30,7;81;4;3,8;1,6
16/01/2020;1300 UTC;0;975,8;32,9;68;354;4,4;1,9
