REGIAO:;CO;;;;;;;
UF:;MS;;;;;;;
ESTACAO:;BONITO;;;;;;;
CODIGO (WMO):;S704;;;;;;;
LATITUDE:;-21,246756;;;;;;;
LONGITUDE:;-56,450442;;;;;;;
ALTITUDE:;329;;;;;;;
DATA DE FUNDACAO:;06/08/2018;;;;;;;
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
01/01/2020;0000 UTC;0;972,1;24,2;93;3;3,6;2,2
01/01/2020;0100 UTC;0;972,7;23,9;94;328;4,2;2
01/01/2020;0200 UTC;0;972,5;23,8;95;286;3,8;2,5
01/01/2020;0300 UTC;0;972;23,3;97;129;3,4;0,5
01/01/2020;0400 UTC;0;971,7;23,2;97;122;3,4;1,2
01/01/2020;0500 UTC;0;971,4;22,7;98;78;2,2;1
01/01/2020;0600 UTC;0;971;22,5;98;356;2,6;1,8
01/01/2020;0700 UTC;0;970,9;22,4;98;17;2,8;0,6
01/01/2020;0800 UTC;0;970,7;22,1;98;270;1,8;0,7
01/01/2020;0900 UTC;0;971,1;22;98;58;1,9;1,3
01/01/2020;1000 UTC;0;971,7;22,9;98;313;1,9;0,5
01/01/2020;1100 UTC;0;972,3;24,6;98;113;1,7;0,9
01/01/2020;1200 UTC;0;972,8;27,4;93;286;4,3;1,2
01/01/2020;1300 UTC;0;972,8;29,7;79;291;4,3;2
01/01/2020;1400 UTC;0;972,3;31,6;71;243;6;2,7
01/01/2020;1500 UTC;0;971,8;31,8;62;250;6,8;3,6
01/01/2020;1600 UTC;0;971;33,4;61;268;7,7;4,1
01/01/2020;1700 UTC;0;970,1;34,5;60;262;7,5;4
01/01/2020;1800 UTC;0;968,8;34,1;56;265;7,5;4,3
01/01/2020;1900 UTC;0;967,8;33,5;55;257;8,5;5,1
01/01/2020;2000 UTC;0;967,1;32,5;56;222;9,1;4,3
01/01/2020;2100 UTC;0;967,1;32,2;57;253;7,3;3,9
01/01/2020;2200 UTC;2,2;968,3;24,4;79;195;15,2;4,8
01/01/2020;2300 UTC;11,4;969,4;24,9;93;101;15,2;0,6
02/01/2020;0000 UTC;0;970,6;26,1;94;323;4,9;3,2
02/01/2020;0100 UTC;0;971,3;25,7;90;329;4,9;2,7
02/01/2020;0200 UTC;0;971,1;24,8;88;334;4,1;2,5
02/01/2020;0300 UTC;0;970,9;24,5;89;323;3,6;2,1
02/01/2020;0400 UTC;0;970,4;23,7;92;323;3,2;1,5
02/01/2020;0500 UTC;0;969,8;23,6;94;287;2,6;0,5
02/01/2020;0600 UTC;0;969,5;22,7;94;224;3,2;2,1
02/01/2020;0700 UTC;0;969,7;22,5;95;250;3,1;2,1
02/01/2020;0800 UTC;0;969,6;22,7;95;275;2,7;0,9
02/01/2020;0900 UTC;0;970,2;22,4;95;306;2,5;1,7
02/01/2020;1000 UTC;0;970,9;24,3;96;264;2,5;1,1
02/01/2020;1100 UTC;0;971,5;26,6;92;275;3,6;1,9
02/01/2020;1200 UTC;0;972,1;28,8;85;200;4,3;2,8
